word,mean_supportive_with_word,mean_supportive_without_word,difference,p_value,word_count
bank,1.0,0.18805417455830553,0.8119458254416945,6.072404462690362e-54,2
club,1.0,0.1895885919632931,0.8104114080367069,3.30485472054048e-53,4
beginning,0.8333333333333333,0.19145553510252317,0.6418777982308101,0.1544642532041055,2
biological,0.75,0.19315621537463204,0.556843784625368,0.2656636733469328,2
twice,0.75,0.19315621537463204,0.556843784625368,0.2656636733469328,2
usual,0.75,0.19315621537463204,0.556843784625368,0.2656636733469328,2
buy,0.75,0.19315621537463204,0.556843784625368,0.2656636733469328,2
effort,0.75,0.19315621537463204,0.556843784625368,0.2656636733469328,2
lie,0.75,0.193156215374632,0.556843784625368,0.2656636733469328,2
separate,0.75,0.19315621537463204,0.556843784625368,0.2656636733469328,2
tldr,0.75,0.19514751656406124,0.5548524834359387,0.2664787065788678,4
gain,0.6818181818181818,0.19268734786677916,0.4891308339514026,0.36574372187376525,4
watching,0.6736111111111112,0.18575399334896683,0.48785711776214435,0.08992865688723177,6
must,0.6785714285714286,0.19437380778975724,0.4841976207816714,0.3717134866780103,6
solution,0.6785714285714286,0.19461394132215387,0.48395748724927473,0.3718977198103444,2
growing,0.6785714285714286,0.19461394132215387,0.48395748724927473,0.3718977198103444,2
everyday,0.6785714285714286,0.19662027061413487,0.4819511579572937,0.37310441599052074,4
begin,0.6666666666666666,0.19485689564674086,0.47180977101992577,0.39041591715644075,2
friday,0.6666666666666666,0.19485689564674086,0.47180977101992577,0.39041591715644075,2
numb,0.65,0.19519703170116262,0.4548029682988374,0.41662900021942934,2
goodbye,0.65,0.19519703170116265,0.4548029682988374,0.41662900021942934,2
sold,0.6428571428571428,0.19534280429591483,0.44751433856122796,0.4279496662534895,2
picked,0.6428571428571428,0.19534280429591486,0.4475143385612279,0.4279496662534895,2
sad,0.5989010989010989,0.16561958059137225,0.4332815183097266,0.03219975175941321,9
toward,0.6212121212121212,0.19139868807296473,0.4298134331391565,0.1540309764208056,3
favor,0.6,0.19621743986442797,0.403782560135572,0.496542720551615,2
divorced,0.5952380952380952,0.19631462159426272,0.3989234736438325,0.5041961680200808,2
selfless,0.5952380952380952,0.19631462159426272,0.3989234736438325,0.5041961680200808,2
majority,0.5952380952380952,0.19631462159426277,0.39892347364383246,0.5041961680200808,2
looking,0.580952380952381,0.18322432933978827,0.3977280516125927,0.03646817778543756,10
shock,0.5769230769230769,0.19668839747824274,0.38023467944483413,0.5336022045372891,2
financially,0.572463768115942,0.19290636909655787,0.3795573990193841,0.237902477531275,3
becoming,0.5757575757575757,0.19671218321631412,0.37904539254126157,0.5354700773490042,2
gift,0.5641025641025641,0.19316496303511596,0.3709376010674481,0.25478309111585895,3
apartment,0.5588235294117647,0.19332823214926437,0.36549529726250035,0.2657738396705413,3
father,0.5512820512820512,0.1903694057590394,0.36091264552301183,0.2787848672668538,5
meanwhile,0.5518518518518518,0.19354385104286995,0.35830800080898184,0.28066077850063414,3
throughout,0.5373376623376623,0.1904162339308676,0.34692142840679474,0.11788119630638173,4
seek,0.5342522974101921,0.19408816715962227,0.3401641302505698,0.29373136410662815,3
push,0.5282685512367491,0.19768134698204531,0.3305872042547038,0.6107369752713409,2
